,id,businessDate,securityId,symbol,securityName,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,lastUpdatedPrice,totalTrades,averageTradedPrice,marketCapitalization
0,,2023-03-14,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,592.0,623.0,592.0,610.0,839,513252.0,597.0,1407.0,592.0,2023-03-14T14:52:46.985668,610.0,34,611.74,2239.58
1,,2023-03-14,397,ADBL,Agricultural Development Bank Limited,299.0,299.0,279.0,281.7,36492,10300324.1,293.14,405.9,278.6,2023-03-14T14:59:41.82123,281.7,342,282.26,37893.37
2,,2023-03-14,2886,ADBLD83,10.35% Agricultural Bank Debenture 2083,899.0,899.0,899.0,899.0,30,26970.0,882.0,1066.0,865.1,2023-03-14T14:08:43.947456,899.0,1,899.0,
3,,2023-03-14,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,1398.0,1415.0,1398.0,1400.0,211,295930.0,1372.5,2705.0,256.8,2023-03-14T14:34:11.903576,1400.0,16,1402.51,347.76
4,,2023-03-14,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,303.9,308.0,297.5,303.0,41592,12538342.1,302.8,525.0,250.0,2023-03-14T14:59:52.570926,303.0,160,301.46,5659.93
5,,2023-03-14,2893,AIL,Ajod Insurance Limited,452.1,470.0,452.1,461.0,2690,1254001.0,460.0,768.9,344.0,2023-03-14T14:59:59.557492,461.0,60,466.17,4610.0
6,,2023-03-14,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,229.4,231.0,222.1,229.0,37302,8498432.1,225.0,310.0,159.8,2023-03-14T14:59:59.507025,229.0,164,227.82,1832.0
7,,2023-03-14,2757,AKPL,Arun Kabeli Power Ltd.,411.0,412.0,403.1,409.0,52507,21448511.2,406.9,530.0,325.0,2023-03-14T14:59:46.088011,409.0,239,408.48,8346.59
8,,2023-03-14,2807,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,716.0,744.9,716.0,735.4,495,365822.6,730.0,1467.0,716.0,2023-03-14T14:58:40.660702,735.4,16,739.03,2806.4
9,,2023-03-14,385,ALICL,Asian Life Insurance Co. Limited,630.0,635.0,621.1,629.9,10227,6414425.1,632.0,1007.7,428.0,2023-03-14T14:59:32.268906,629.9,123,627.2,18318.19
10,,2023-03-14,599,ALICLP,Asian Life Insurance Co. Ltd Promoter Share,340.1,340.1,340.1,340.1,12267,4172006.7,340.1,679.0,274.0,2023-03-14T14:47:17.291966,340.1,1,340.1,34.01
11,,2023-03-14,697,API,Api Power Company Ltd.,260.0,261.9,255.0,257.1,70064,18072439.3,256.9,510.0,200.0,2023-03-14T14:59:50.907742,257.1,369,257.94,10626.67
12,,2023-03-14,8117,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,598.9,635.0,598.9,633.0,2917,1814742.0,611.0,963.0,316.0,2023-03-14T14:59:56.945376,633.0,112,622.12,1582.5
13,,2023-03-14,686,BARUN,Barun Hydropower Co. Ltd.,261.0,266.2,261.0,263.0,4029,1064199.2,264.0,541.6,190.3,2023-03-14T14:59:57.458695,263.0,50,264.13,1409.19
14,,2023-03-14,156,BBC,Bishal Bazar Company Limited,3300.0,3348.0,3290.0,3300.0,265,875260.0,3295.0,4670.0,3083.0,2023-03-14T14:51:25.434794,3300.0,8,3302.86,1621.62
15,,2023-03-14,227,BFC,Best Finance Company Ltd.,324.0,329.0,320.3,326.1,3611,1177036.3,324.0,477.9,292.5,2023-03-14T14:59:27.778401,326.1,24,325.95,2703.09
16,,2023-03-14,8075,BHDC,Bindhyabasini Hydropower Development Company Limited,402.0,431.3,395.4,431.3,5285,2215528.0,402.0,520.0,310.0,2023-03-14T14:59:32.21089,431.3,148,419.21,4528.65
17,,2023-03-14,8055,BHL,Balephi Hydropower Limited,339.5,339.5,328.4,335.0,6400,2115388.2,333.0,397.0,104.7,2023-03-14T14:59:58.546553,335.0,132,330.52,6123.7
18,,2023-03-14,9135,BHPL,Barahi Hydropower Public Limited,524.3,555.0,515.1,554.0,1097,588865.0,535.0,677.2,194.3,2023-03-14T14:55:13.588171,554.0,68,536.79,1385.0
19,,2023-03-14,8032,BNHC,Buddha Bhumi Nepal Hydropower Company Limited,434.9,434.9,418.9,430.0,2372,1004369.8,432.0,715.0,306.0,2023-03-14T14:59:58.608448,430.0,40,423.42,1720.0
20,,2023-03-14,213,BNT,Bottlers Nepal (Terai) Limited,12550.0,12740.0,12100.0,12342.0,182,2255478.0,12740.0,15371.3,11396.0,2023-03-14T14:59:09.36616,12342.0,14,12392.73,14933.82
21,,2023-03-14,153,BPCL,Butwal Power Company Limited,320.0,324.0,316.0,320.0,2947,943135.8,320.0,426.3,288.0,2023-03-14T14:59:54.587499,320.0,79,320.03,10909.01
22,,2023-03-14,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,840.0,840.0,819.3,820.0,9020,7439375.4,831.0,1305.0,819.3,2023-03-14T14:59:55.444908,820.0,257,824.76,23250.3
23,,2023-03-14,8043,CBLD88,Civil Bank Debenture 2088,829.0,829.0,829.0,829.0,15,12435.0,845.2,1000.0,813.0,2023-03-14T11:59:05.291971,829.0,1,829.0,
24,,2023-03-14,245,CFCL,Central Finance Co. Ltd.,320.2,320.2,315.0,318.0,3399,1079181.2,314.0,462.9,237.0,2023-03-14T14:59:59.135249,318.0,50,317.49,3017.42
